,site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818
0,BECKP,20110817,SM1_20110817,20110818,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
1,BECKP,20110818,SM1_20110818,20110818,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
2,BECKP,20110819,SM1_20110819,20110818,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
3,BECKP,20110721,SM6_20110721,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
4,BECKP,20110722,SM6_20110722,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
5,BECKP,20110723,SM6_20110723,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
6,BECKR,20110817,SM2_20110817,20110818,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
7,BECKR,20110818,SM2_20110818,20110818,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
8,BECKR,20110819,SM2_20110819,20110818,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
9,BECKR,20110721,SM5_20110721,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
10,BECKR,20110722,SM5_20110722,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
11,BECKR,20110723,SM5_20110723,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004
12,CLAMP,20110827,SM1_20110827,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998
13,CLAMP,20110828,SM1_20110828,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998
14,CLAMP,20110829,SM1_20110829,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998
15,CLAMP,20110803,SM5_20110803,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
16,CLAMP,20110804,SM5_20110804,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
17,CLAMP,20110805,SM5_20110805,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
18,CLAMR,20110803,SM2_20110803,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
19,CLAMR,20110804,SM2_20110804,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
20,CLAMR,20110805,SM2_20110805,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
21,CLAMR,20110827,SM4_20110827,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998
22,CLAMR,20110828,SM4_20110828,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998
23,CLAMR,20110829,SM4_20110829,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998
24,CLAMX,20110803,SM1_20110803,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
25,CLAMX,20110804,SM1_20110804,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
26,CLAMX,20110805,SM1_20110805,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
27,CLAMX,20110803,SM6_20110803,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
28,CLAMX,20110804,SM6_20110804,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
29,CLAMX,20110805,SM6_20110805,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998
30,COHOP,20110803,SM4_20110803,20110802,20110714,20110802,20110818,,,
31,COHOP,20110804,SM4_20110804,20110802,20110714,20110802,20110818,,,
32,COHOP,20110805,SM4_20110805,20110802,20110714,20110802,20110818,,,
33,COHOP,20110827,SM5_20110827,20110818,20110714,20110802,20110818,,,
34,COHOP,20110828,SM5_20110828,20110818,20110714,20110802,20110818,,,
35,COHOP,20110829,SM5_20110829,20110818,20110714,20110802,20110818,,,
36,COHOR,20110827,SM2_20110827,20110818,20110714,20110802,20110818,,,
37,COHOR,20110828,SM2_20110828,20110818,20110714,20110802,20110818,,,
38,COHOR,20110829,SM2_20110829,20110818,20110714,20110802,20110818,,,
39,COHOR,20110803,SM3_20110803,20110802,20110714,20110802,20110818,,,
40,COHOR,20110804,SM3_20110804,20110802,20110714,20110802,20110818,,,
41,COHOR,20110805,SM3_20110805,20110802,20110714,20110802,20110818,,,
42,COHOX,20110827,SM3_20110827,20110818,20110714,20110802,20110818,,,
43,COHOX,20110828,SM3_20110828,20110818,20110714,20110802,20110818,,,
44,COHOX,20110829,SM3_20110829,20110818,20110714,20110802,20110818,,,
45,COHOX,20110827,SM6_20110827,20110818,20110714,20110802,20110818,,,
46,COHOX,20110828,SM6_20110828,20110818,20110714,20110802,20110818,,,
47,COHOX,20110829,SM6_20110829,20110818,20110714,20110802,20110818,,,
48,COLAP,20110823,SM1_20110823,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
49,COLAP,20110824,SM1_20110824,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
50,COLAP,20110825,SM1_20110825,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
51,COLAP,20110826,SM1_20110826,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
52,COLAP,20110728,SM6_20110728,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
53,COLAP,20110729,SM6_20110729,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
54,COLAP,20110730,SM6_20110730,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
55,COLAP,20110731,SM6_20110731,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
56,COLAR,20110823,SM2_20110823,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
57,COLAR,20110824,SM2_20110824,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
58,COLAR,20110825,SM2_20110825,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
59,COLAR,20110826,SM2_20110826,20110818,20110714,20110802,20110818,43.799999999999997,40.0,10.6
60,COLAR,20110728,SM5_20110728,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
61,COLAR,20110729,SM5_20110729,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
62,COLAR,20110730,SM5_20110730,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
63,COLAR,20110731,SM5_20110731,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6
64,COWAP,20110813,SM3_20110813,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
65,COWAP,20110814,SM3_20110814,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
66,COWAP,20110815,SM3_20110815,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
67,COWAP,20110816,SM3_20110816,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
68,COWAP,20110714,SM6_20110714,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
69,COWAP,20110715,SM6_20110715,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
70,COWAP,20110716,SM6_20110716,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
71,COWAR,20110813,SM4_20110813,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
72,COWAR,20110814,SM4_20110814,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
73,COWAR,20110815,SM4_20110815,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
74,COWAR,20110816,SM4_20110816,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
75,COWAR,20110714,SM5_20110714,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
76,COWAR,20110715,SM5_20110715,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
77,COWAR,20110716,SM5_20110716,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004
78,FNSUP,20110721,SM2_20110721,20110714,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
79,FNSUP,20110722,SM2_20110722,20110714,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
80,FNSUP,20110723,SM2_20110723,20110714,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
81,FNSUP,20110817,SM5_20110817,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
82,FNSUP,20110818,SM5_20110818,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
83,FNSUP,20110819,SM5_20110819,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
84,FNSUR,20110721,SM1_20110721,20110714,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
85,FNSUR,20110722,SM1_20110722,20110714,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
86,FNSUR,20110723,SM1_20110723,20110714,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
87,FNSUR,20110817,SM6_20110817,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
88,FNSUR,20110818,SM6_20110818,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
89,FNSUR,20110819,SM6_20110819,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004
90,FOGAR,20110806,SM1_20110806,20110802,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
91,FOGAR,20110807,SM1_20110807,20110802,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
92,FOGAR,20110808,SM1_20110808,20110802,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
93,FOGAR,20110809,SM1_20110809,20110802,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
94,FOGAR,20110810,SM1_20110810,20110802,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
95,FOGAR,20110811,SM1_20110811,20110818,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
96,FOGAR,20110812,SM1_20110812,20110818,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
97,FOGAR,20110714,SM4_20110714,20110714,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
98,FOGAR,20110715,SM4_20110715,20110714,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
99,FOGAR,20110716,SM4_20110716,20110714,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999
100,GRACR,20110714,SM1_20110714,20110714,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
101,GRACR,20110715,SM1_20110715,20110714,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
102,GRACR,20110716,SM1_20110716,20110714,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
103,GRACR,20110806,SM6_20110806,20110802,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
104,GRACR,20110807,SM6_20110807,20110802,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
105,GRACR,20110808,SM6_20110808,20110802,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
106,GRACR,20110809,SM6_20110809,20110802,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
107,GRACR,20110810,SM6_20110810,20110802,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
108,GRACR,20110811,SM6_20110811,20110818,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
109,GRACR,20110812,SM6_20110812,20110818,20110714,20110802,20110818,14.199999999999999,21.600000000000001,16.0
110,GRCAR,20110714,SM2_20110714,20110714,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
111,GRCAR,20110715,SM2_20110715,20110714,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
112,GRCAR,20110716,SM2_20110716,20110714,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
113,GRCAR,20110806,SM4_20110806,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
114,GRCAR,20110807,SM4_20110807,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
115,GRCAR,20110808,SM4_20110808,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
116,GRCAR,20110809,SM4_20110809,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
117,GRCAR,20110810,SM4_20110810,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
118,GRCAR,20110811,SM4_20110811,20110818,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
119,GRCAR,20110812,SM4_20110812,20110818,20110714,20110802,20110818,1.2,0.40000000000000002,0.0
120,GRRUR,20110817,SM3_20110817,20110818,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001
121,GRRUR,20110818,SM3_20110818,20110818,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001
122,GRRUR,20110819,SM3_20110819,20110818,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001
123,GRRUR,20110721,SM4_20110721,20110714,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001
124,GRRUR,20110722,SM4_20110722,20110714,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001
125,GRRUR,20110723,SM4_20110723,20110714,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001
126,GRYOP,20110806,SM2_20110806,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
127,GRYOP,20110807,SM2_20110807,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
128,GRYOP,20110808,SM2_20110808,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
129,GRYOP,20110809,SM2_20110809,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
130,GRYOP,20110810,SM2_20110810,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
131,GRYOP,20110811,SM2_20110811,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
132,GRYOP,20110812,SM2_20110812,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
133,GRYOP,20110717,SM4_20110717,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
134,GRYOP,20110718,SM4_20110718,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
135,GRYOP,20110719,SM4_20110719,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
136,GRYOP,20110720,SM4_20110720,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
137,GRYOR,20110717,SM1_20110717,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
138,GRYOR,20110718,SM1_20110718,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
139,GRYOR,20110719,SM1_20110719,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
140,GRYOR,20110720,SM1_20110720,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
141,GRYOR,20110806,SM3_20110806,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
