detector_date,bug_count
SM6_20110721,2.0
SM6_20110722,2.0
SM6_20110723,2.0
SM5_20110721,2.0
SM5_20110722,2.0
SM5_20110723,2.0
SM6_20110714,0.80000000000000004
SM6_20110715,0.80000000000000004
SM6_20110716,0.80000000000000004
SM5_20110714,0.80000000000000004
SM5_20110715,0.80000000000000004
SM5_20110716,0.80000000000000004
SM2_20110721,1.0
SM2_20110722,1.0
SM2_20110723,1.0
SM1_20110721,1.0
SM1_20110722,1.0
SM1_20110723,1.0
SM4_20110714,20.600000000000001
SM4_20110715,20.600000000000001
SM4_20110716,20.600000000000001
SM1_20110714,14.199999999999999
SM1_20110715,14.199999999999999
SM1_20110716,14.199999999999999
SM2_20110714,1.2
SM2_20110715,1.2
SM2_20110716,1.2
SM4_20110721,16.0
SM4_20110722,16.0
SM4_20110723,16.0
SM4_20110717,0.80000000000000004
SM4_20110718,0.80000000000000004
SM4_20110719,0.80000000000000004
SM4_20110720,0.80000000000000004
SM1_20110717,0.80000000000000004
SM1_20110718,0.80000000000000004
SM1_20110719,0.80000000000000004
SM1_20110720,0.80000000000000004
SM3_20110714,2.0
SM3_20110715,2.0
SM3_20110716,2.0
SM3_20110721,12.199999999999999
SM3_20110722,12.199999999999999
SM3_20110723,12.199999999999999
SM3_20110717,12.6
SM3_20110718,12.6
SM3_20110719,12.6
SM3_20110720,12.6
SM2_20110717,10.6
SM2_20110718,10.6
SM2_20110719,10.6
SM2_20110720,10.6
SM6_20110717,20.399999999999999
SM6_20110718,20.399999999999999
SM6_20110719,20.399999999999999
SM6_20110720,20.399999999999999
SM5_20110717,20.399999999999999
SM5_20110718,20.399999999999999
SM5_20110719,20.399999999999999
SM5_20110720,20.399999999999999
SM5_20110803,
SM5_20110804,
SM5_20110805,
SM2_20110803,
SM2_20110804,
SM2_20110805,
SM1_20110803,
SM1_20110804,
SM1_20110805,
SM6_20110803,
SM6_20110804,
SM6_20110805,
SM4_20110803,
SM4_20110804,
SM4_20110805,
SM3_20110803,
SM3_20110804,
SM3_20110805,
SM6_20110728,40.0
SM6_20110729,40.0
SM6_20110730,40.0
SM6_20110731,40.0
SM5_20110728,40.0
SM5_20110729,40.0
SM5_20110730,40.0
SM5_20110731,40.0
SM1_20110806,23.399999999999999
SM1_20110807,23.399999999999999
SM1_20110808,23.399999999999999
SM1_20110809,23.399999999999999
SM1_20110810,23.399999999999999
SM6_20110806,21.600000000000001
SM6_20110807,21.600000000000001
SM6_20110808,21.600000000000001
SM6_20110809,21.600000000000001
SM6_20110810,21.600000000000001
SM4_20110806,0.40000000000000002
SM4_20110807,0.40000000000000002
SM4_20110808,0.40000000000000002
SM4_20110809,0.40000000000000002
SM4_20110810,0.40000000000000002
SM2_20110806,2.2000000000000002
SM2_20110807,2.2000000000000002
SM2_20110808,2.2000000000000002
SM2_20110809,2.2000000000000002
SM2_20110810,2.2000000000000002
SM3_20110806,2.2000000000000002
SM3_20110807,2.2000000000000002
SM3_20110808,2.2000000000000002
SM3_20110809,2.2000000000000002
SM3_20110810,2.2000000000000002
SM4_20110728,89.599999999999994
SM4_20110729,89.599999999999994
SM4_20110730,89.599999999999994
SM4_20110731,89.599999999999994
SM3_20110728,89.599999999999994
SM3_20110729,89.599999999999994
SM3_20110730,89.599999999999994
SM3_20110731,89.599999999999994
SM3_20110724,4.4000000000000004
SM3_20110725,4.4000000000000004
SM3_20110726,4.4000000000000004
SM3_20110727,4.4000000000000004
SM6_20110724,4.4000000000000004
SM6_20110725,4.4000000000000004
SM6_20110726,4.4000000000000004
SM6_20110727,4.4000000000000004
SM5_20110806,24.0
SM5_20110807,24.0
SM5_20110808,24.0
SM5_20110809,24.0
SM5_20110810,24.0
SM1_20110728,29.199999999999999
SM1_20110729,29.199999999999999
SM1_20110730,29.199999999999999
SM1_20110731,29.199999999999999
SM2_20110728,7.2000000000000002
SM2_20110729,7.2000000000000002
SM2_20110730,7.2000000000000002
SM2_20110731,7.2000000000000002
SM4_20110724,9.8000000000000007
SM4_20110725,9.8000000000000007
SM4_20110726,9.8000000000000007
SM4_20110727,9.8000000000000007
SM1_20110724,9.8000000000000007
SM1_20110725,9.8000000000000007
SM1_20110726,9.8000000000000007
SM1_20110727,9.8000000000000007
SM2_20110724,9.8000000000000007
SM2_20110725,9.8000000000000007
SM2_20110726,9.8000000000000007
SM2_20110727,9.8000000000000007
SM5_20110724,9.8000000000000007
SM5_20110725,9.8000000000000007
SM5_20110726,9.8000000000000007
SM5_20110727,9.8000000000000007
SM1_20110817,6.4000000000000004
SM1_20110818,6.4000000000000004
SM1_20110819,6.4000000000000004
SM2_20110817,6.4000000000000004
SM2_20110818,6.4000000000000004
SM2_20110819,6.4000000000000004
SM1_20110827,5.7999999999999998
SM1_20110828,5.7999999999999998
SM1_20110829,5.7999999999999998
SM4_20110827,5.7999999999999998
SM4_20110828,5.7999999999999998
SM4_20110829,5.7999999999999998
SM5_20110827,
SM5_20110828,
SM5_20110829,
SM2_20110827,
SM2_20110828,
SM2_20110829,
SM3_20110827,
SM3_20110828,
SM3_20110829,
SM6_20110827,
SM6_20110828,
SM6_20110829,
SM1_20110823,10.6
SM1_20110824,10.6
SM1_20110825,10.6
SM1_20110826,10.6
SM2_20110823,10.6
SM2_20110824,10.6
SM2_20110825,10.6
SM2_20110826,10.6
SM3_20110813,0.80000000000000004
SM3_20110814,0.80000000000000004
SM3_20110815,0.80000000000000004
SM3_20110816,0.80000000000000004
SM4_20110813,0.80000000000000004
SM4_20110814,0.80000000000000004
SM4_20110815,0.80000000000000004
SM4_20110816,0.80000000000000004
SM5_20110817,0.80000000000000004
SM5_20110818,0.80000000000000004
SM5_20110819,0.80000000000000004
SM6_20110817,0.80000000000000004
SM6_20110818,0.80000000000000004
SM6_20110819,0.80000000000000004
SM1_20110811,17.399999999999999
SM1_20110812,17.399999999999999
SM6_20110811,16.0
SM6_20110812,16.0
SM4_20110811,0.0
SM4_20110812,0.0
SM3_20110817,13.800000000000001
SM3_20110818,13.800000000000001
SM3_20110819,13.800000000000001
SM2_20110811,1.0
SM2_20110812,1.0
SM3_20110811,1.0
SM3_20110812,1.0
SM5_20110823,34.200000000000003
SM5_20110824,34.200000000000003
SM5_20110825,34.200000000000003
SM5_20110826,34.200000000000003
SM6_20110823,34.200000000000003
SM6_20110824,34.200000000000003
SM6_20110825,34.200000000000003
SM6_20110826,34.200000000000003
SM6_20110813,0.0
SM6_20110814,0.0
SM6_20110815,0.0
SM6_20110816,0.0
SM4_20110817,13.800000000000001
SM4_20110818,13.800000000000001
SM4_20110819,13.800000000000001
SM3_20110820,3.6000000000000001
SM3_20110821,3.6000000000000001
SM3_20110822,3.6000000000000001
SM2_20110820,3.6000000000000001
SM2_20110821,3.6000000000000001
SM2_20110822,3.6000000000000001
SM1_20110820,3.6000000000000001
SM1_20110821,3.6000000000000001
SM1_20110822,3.6000000000000001
SM4_20110820,3.6000000000000001
SM4_20110821,3.6000000000000001
SM4_20110822,3.6000000000000001
SM5_20110811,20.800000000000001
SM5_20110812,20.800000000000001
SM5_20110813,11.0
SM5_20110814,11.0
SM5_20110815,11.0
SM5_20110816,11.0
SM1_20110813,16.199999999999999
SM1_20110814,16.199999999999999
SM1_20110815,16.199999999999999
SM1_20110816,16.199999999999999
SM2_20110813,16.199999999999999
SM2_20110814,16.199999999999999
SM2_20110815,16.199999999999999
SM2_20110816,16.199999999999999
SM4_20110823,14.0
SM4_20110824,14.0
SM4_20110825,14.0
SM4_20110826,14.0
SM3_20110823,3.0
SM3_20110824,3.0
SM3_20110825,3.0
SM3_20110826,3.0
SM5_20110820,5.0
SM5_20110821,5.0
SM5_20110822,5.0
SM6_20110820,5.0
SM6_20110821,5.0
SM6_20110822,5.0
