,path,folder,pass,date,detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
0,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_205528_585.00#,20120609,SM1_20120609,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120609_211457_151.00#,20120609,SM2_20120609,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_215617_789.00#,20120609,SM3_20120609,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120609_215650_890.00#,20120609,SM4_20120609,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120609_231135_041.00#,20120609,SM5_20120609,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120609_231135_041.00#,20120609,SM6_20120609,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120613_205528_585.00#,20120613,SM1_20120613,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120613_211457_151.00#,20120613,SM2_20120613,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120613_215617_789.00#,20120613,SM3_20120613,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120613_215650_890.00#,20120613,SM4_20120613,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120613_231135_041.00#,20120613,SM5_20120613,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120613_231135_041.00#,20120613,SM6_20120613,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120616_205528_585.00#,20120616,SM1_20120616,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120616_211457_151.00#,20120616,SM2_20120616,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120616_215617_789.00#,20120616,SM3_20120616,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120616_215650_890.00#,20120616,SM4_20120616,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120616_231135_041.00#,20120616,SM5_20120616,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120616_231135_041.00#,20120616,SM6_20120616,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120619_205528_585.00#,20120619,SM1_20120619,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120619_211457_151.00#,20120619,SM2_20120619,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120619_215617_789.00#,20120619,SM3_20120619,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120619_215650_890.00#,20120619,SM4_20120619,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120619_231135_041.00#,20120619,SM5_20120619,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120619_231135_041.00#,20120619,SM6_20120619,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120623_205528_585.00#,20120623,SM1_20120623,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120623_211457_151.00#,20120623,SM2_20120623,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120623_215617_789.00#,20120623,SM3_20120623,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120623_215650_890.00#,20120623,SM4_20120623,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120623_231135_041.00#,20120623,SM5_20120623,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120623_231135_041.00#,20120623,SM6_20120623,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120626_205528_585.00#,20120626,SM1_20120626,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120626_211457_151.00#,20120626,SM2_20120626,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120626_215617_789.00#,20120626,SM3_20120626,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120626_215650_890.00#,20120626,SM4_20120626,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120626_231135_041.00#,20120626,SM5_20120626,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120626_231135_041.00#,20120626,SM6_20120626,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
